referendum_index,origin,address,amount,conviction,votes,status,voting_time,delegate
355,referendum_canceller,DPoJe9z9k36jJpCj32K6m2eT6DAnwvkrUsUkXHnRXWiEuyY,70000000000000,1,70000000000000,Nays,1710705978,
355,referendum_canceller,DPoJe9z9k36jJpCj32K6m2eT6DAnwvkrUsUkXHnRXWiEuyY,70000000000000,1,70000000000000,Nays,1710077046,
355,referendum_canceller,GJWFwL8bxZszS5nJNWCV6vC5nBERLgscKSeNF3U9ZcQxL12,70000000000000,1,70000000000000,Nays,1709870682,
355,referendum_canceller,GPTwmqixpfnum8jCBVmYBYnseb8q6g9b4kxWRRuuRTAqMoX,68000000000000,1,68000000000000,Nays,1710706110,
355,referendum_canceller,GPTwmqixpfnum8jCBVmYBYnseb8q6g9b4kxWRRuuRTAqMoX,68000000000000,1,68000000000000,Nays,1710077214,
355,referendum_canceller,JKzwkX6JcARutZvJpArnUFZnYnbsZedCTJfbhrqTtPuxezU,67000000000000,1,67000000000000,Nays,1710077184,
355,referendum_canceller,Ez4AsHErY6svADTciHB4VqdjmEUQsJKfZtsLFoe75sxiNYg,65000000000000,1,65000000000000,Nays,1709948832,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa
355,referendum_canceller,JCoHBV9niYT9GyBxAcw6H8BSkzfTLi4KK4Kfw62vj2kq2gt,10190000000000,6,61140000000000,Nays,1709948832,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa
355,referendum_canceller,DXuN5rty7aNtc3rb7s1HQFsNuiXYtQvFv5HtfkWGq5yyhP9,60000000000000,1,60000000000000,Nays,1710706068,
355,referendum_canceller,HTiHYfSRCkUn5u58KRHWjkNPRPP1MNahuXdEr2TtJ5xXfZU,60000000000000,1,60000000000000,Nays,1710705954,
355,referendum_canceller,DczAw1iwYjCftH3NJC1Cp3oXLxUbLSKnb4d2UrXNVLMKrgo,60000000000000,1,60000000000000,Nays,1710217452,
355,referendum_canceller,DXuN5rty7aNtc3rb7s1HQFsNuiXYtQvFv5HtfkWGq5yyhP9,60000000000000,1,60000000000000,Nays,1710077160,
355,referendum_canceller,HTiHYfSRCkUn5u58KRHWjkNPRPP1MNahuXdEr2TtJ5xXfZU,60000000000000,1,60000000000000,Nays,1710077004,
355,referendum_canceller,FiUv9u3heH6KLmSTwc2hXS7hFsahbiQ4PniMWoLAFS9AbDv,10000000000000,6,60000000000000,Nays,1709948832,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa
355,referendum_canceller,H42TUfJrVKt8KzUszJr1sdJseei2yAikhMEyK3xSundN3UW,10000000000000,6,60000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,DQ1fB5UqKZQZefZVTW9E9qi4AKmnNyPZdvuheKgeMrRtz4w,10000000000000,6,60000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,ChLjTZyZEhfsvFbsvus6YcpYr9F1hVrpahe3voUVF1aip9x,10000000000000,6,60000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,EWxmJtdmRUtpgLiHzFbtQc3E2jDx9j3VYZPmjWCEaSUnCZG,10000000000000,6,60000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,EriYFJuqCeBF6SFkKxyQWwaTvT9tcoF9ZGDQ4LX3a1iBsYr,10000000000000,6,60000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,EtN5SSSbQK5dPq1P2Baqp1sdFjFCFFjrhKpQ53Ap8gLLPCi,10000000000000,6,60000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,GB41jSyvWqvRwXpoFcBJY8XVSi7bKyfT9Ybpix2K1tvQJMd,10000000000000,6,60000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,FkWky3r2bryP3aaAwVWykYrKesAwkDyKZWsDyBvck7YawSi,10000000000000,6,60000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,CjxTUY31ozpTJ99k4DTBQTkce5oCTsTTb6SSKVkeVT9M7eF,10000000000000,6,60000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,Dekc3hPbLuwhRSgUm1MXg6ygR3gJnXcnS7hVuy1csvyb5ia,10000000000000,6,60000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,EouPWkxuTgMhUwn7BpHK4ZJieLiyMMYFtnt1SKdoUYYSBCM,10000000000000,6,60000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,HmATBxduU6c5ZCCJaXMVNQZ1UF7JYdPLimEo6b35J5btk9y,10000000000000,6,60000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,F35pxCfDhRz3W4vuMPsAQr8ABZYKSFMJHVFsbY2UxmhSLZ2,10000000000000,6,60000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,HyZUEZw5G18KtisetKL274g2Kh6i2XHKtFoheyKJW9vBwXu,10000000000000,6,60000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
